"ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID","SPOT_ID.1"
"TC0300013513.hg.1",0.429,0.158,-1.460381,-5.85164,-0.5743356,"Multiple_Complex","Multiple_Complex"
"TC1600011328.hg.1",0.429,0.158,1.46036,-5.85167,0.2323162,"Coding","Coding"
"TSUnmapped00000608.hg.1",0.429,0.158,1.46026,-5.85181,0.30664,"Coding","Coding"
"TC1600011339.hg.1",0.429,0.158,-1.460148,-5.85197,-0.3172319,"Multiple_Complex","Multiple_Complex"
"TC0800012377.hg.1",0.429,0.158,-1.459883,-5.85233,-0.2812944,"NonCoding","NonCoding"
"TC0600009740.hg.1",0.429,0.158,-1.459806,-5.85244,-0.7749406,"Multiple_Complex","Multiple_Complex"
"TC1200008703.hg.1",0.429,0.158,1.459655,-5.85264,0.3257531,"Multiple_Complex","Multiple_Complex"
"TC0300009843.hg.1",0.429,0.158,-1.459618,-5.8527,-0.36499,"Multiple_Complex","Multiple_Complex"
"TC1800009229.hg.1",0.429,0.158,-1.459531,-5.85282,-0.2807563,"Multiple_Complex","Multiple_Complex"
"TC0400012942.hg.1",0.429,0.158,1.459531,-5.85282,0.3429131,"Multiple_Complex","Multiple_Complex"
"TC0X00007191.hg.1",0.429,0.158,-1.459515,-5.85284,-0.2339563,"Multiple_Complex","Multiple_Complex"
